2,Delete,,,,
3,Relabel,,,,
4,Delete,Delete,Insert,,
5,Delete,Insert,Delete,Insert,
6,Delete,Insert,,,
7,Delete,Insert,,,
8,Delete,Insert,,,
9,Delete,Insert,Insert,Delete,
10,Delete,Insert,Insert,,
11,Delete,Insert,Insert,,
12,Delete,Insert,Insert,,
13,Delete,Insert,Insert,,
14,Delete,Insert,Insert,,
15,Delete,Insert,Insert,,
16,Delete,Delete,Delete,Insert,
17,Delete,Insert,Insert,,
19,Delete,,,,
20,Append,,,,
21,Insert,,,,
22,Delete,Delete,,,
23,Delete,,,,
24,Delete,,,,
25,Delete,,,,
26,Delete,Insert,,,
27,Delete,Insert,Delete,,
28,Delete,Insert,Delete,,
29,Delete,Insert,,,
30,Delete,Insert,,,
31,Delete,Insert,Delete,,
32,Delete,Insert,,,
33,Relabel,Delete,Insert,,
34,Delete,Insert,Delete,Append,
35,Delete,Insert,Insert,Insert,
36,Delete,Delete,Insert,,
37,Delete,Insert,Insert,,
38,Delete,Insert,Delete,Delete,Insert
39,Relabel,Delete,Insert,Insert,
40,Delete,Insert,Delete,Insert,Delete
41,Delete,Insert,Delete,Insert,Delete
42,Relabel,Delete,Insert,Insert,
44,Delete,Insert,Delete,,
45,Delete,Delete,Insert,Insert,
47,Delete,Delete,Delete,Insert,Insert
50,Insert,,,,
51,Delete,,,,
52,Relabel,Delete,,,
53,Delete,,,,
54,Relabel,Insert,Delete,Delete,Delete
